district,Latitude,Longitude,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Huangpu,31.21278,121.56217,3800,1,1,1,0,20,0,attached lane house,multi-use,1,1,1,0,0,0,1,0,4
Changning,31.20268798,121.4307419,3800,1,0,1,0,22,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,3800,1,0,0,0,20,0,detached lane house,residential,0,1,0,0,1,0,0,0,2
Huangpu,31.21278,121.56217,3800,1,0,1,0,10,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3800,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3800,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,3800,1,1,1,0,20,0,public housing,multi-use,1,1,1,1,1,1,0,0,6
Hongkou,31.21278,121.56217,3800,1,1,1,0,48,0,public housing,residential,0,1,0,0,1,0,0,0,2
Huangpu,31.21278,121.56217,3800,1,0,1,0,12,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,3800,2,1,1,0,58,0,public housing,residential,1,1,1,0,0,0,0,0,3
Huangpu,31.21278,121.56217,3800,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.24094423,121.4326414,3800,1,0,1,0,32,0,detached lane house,multi-use,0,1,0,0,0,1,0,0,2
Pudong,31.21278,121.56217,3850,1,1,1,0,41,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Changning,31.21278,121.56217,3890,2,1,1,0,27,0,attached lane house,multi-use,1,0,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3900,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3900,1,1,1,0,30,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3900,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3900,1,1,1,0,22,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Minhang,31.21278,121.56217,3960,1,1,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4000,1,1,1,0,10,0,attached lane house,residential,1,1,0,1,0,0,0,0,3
Zhabei,31.21278,121.56217,4000,2,1,1,0,58,0,public housing,residential,0,0,0,0,0,1,0,0,1
Jing'an,31.21278,121.56217,4000,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,4000,1,0,1,0,13,0,detached lane house,residential,0,1,0,0,1,0,0,0,2
Xuhui,31.21278,121.56217,4000,1,0,1,0,18,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,4000,1,0,1,0,38,0,detached lane house,residential,0,0,0,1,0,0,0,0,1
Jing'an,31.21278,121.56217,4000,1,1,1,0,18,0,attached lane house,residential,0,1,0,0,1,0,0,0,2
Huangpu,31.21278,121.56217,4000,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4000,1,0,1,0,18,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4000,1,0,1,0,35,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4000,1,1,1,0,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
